CustomerID,Age,Gender,Location,Occupation,Income Bracket,Credit Score,Onboarding Date,Channel,App Logins,Web Logins,Session Duration,Time Between Sessions,Device Type,OS Version,Loans Accessed,Savings Accessed,Card Mgmt Accessed,Monthly Avg Balance,Debit Count,Credit Count,Loans Taken,Repayment Misses,Overdraft Events,Declined Txns,Failed Payments,Current Plan,Plan History,Subscription Renewals,Payment Mode,Tickets Raised,Resolution Time (hrs),Sentiment Score,NPS Score,Survey Feedback,Churned
CUST00000,49,Other,West,Retired,Low,792,7/28/2019,Branch,21,11,6.991789428,7.538291718,iOS,v3,0,1,5,26802.23575,12,6,1,1,1,1,0,Silver,Silver > Gold,0,Auto,4,26.99394632,0.570978073,2,Bad,0
CUST00001,53,Male,West,Salaried,Low,356,3/28/2011,Online,4,3,42.33530476,35.17451962,Web,v1,3,1,5,65638.37322,12,6,2,0,9,1,0,Platinum,Gold > Platinum,0,Auto,0,101.5370312,0.832714071,7,Good,1
CUST00002,67,Female,North,Self-employed,Medium,441,11/21/2017,Branch,,9,17.06777068,51.21373959,Web,v1,1,1,5,63524.16316,12,6,1,0,2,0,0,Basic,Basic > Silver,0,Manual,2,29.37927132,0.442001411,6,Bad,0
CUST00003,54,Male,South,Self-employed,Medium,708,3/18/2017,Online,11,6,16.18061699,6.462253403,Android,v3,0,1,5,53295.2308,12,6,0,0,3,0,0,Gold,Gold > Platinum,0,Auto,1,167.6186384,0.264915459,5,Neutral,0
CUST00004,65,Male,South,Student,Medium,377,4/22/2011,Online,10,12,10.3967815,32.68933716,iOS,v1,0,1,5,48054.91325,12,6,1,1,1,0,0,Gold,Basic > Silver,0,Auto,0,5.694074743,0.253204709,5,Good,0
CUST00005,31,Female,North,Student,High,301,7/4/2013,Branch,12,10,3.553792741,10.26277709,iOS,v1,1,1,5,47079.62751,12,6,1,0,2,3,0,Platinum,No Change,0,Auto,1,94.62003801,0.278974602,1,Bad,0
CUST00006,44,Female,North,Self-employed,Medium,334,3/20/2021,Branch,15,11,24.3288279,42.2350628,Android,v3,1,1,5,,12,6,1,0,6,1,0,Basic,Silver > Gold,0,Auto,1,4.297185045,0.164741884,1,Neutral,0
CUST00007,36,Other,East,Student,High,694,7/26/2014,Branch,10,10,12.18160733,34.76681333,Web,v1,2,1,5,50522.62831,12,6,3,1,5,1,0,Platinum,Basic > Silver,0,Manual,1,32.28079847,0.31648385,3,Bad,1
CUST00008,48,Female,East,,High,517,3/21/2014,Online,11,6,8.887764344,21.29468813,Android,v2,0,1,5,48992.55957,12,6,1,0,1,4,0,Silver,Gold > Platinum,0,Auto,1,86.37359881,1.037255477,1,Bad,0
CUST00009,63,Other,North,Student,High,366,10/21/2021,Online,15,12,5.098151113,105.3922872,Android,v3,1,1,5,14114.90568,12,6,2,0,3,0,0,Gold,Silver > Gold,0,Auto,0,5.04431591,0.107783904,8,Bad,0
CUST00010,26,Other,North,Self-employed,Low,368,4/25/2014,Agent,16,10,3.956172448,6.516128048,Web,v2,1,1,5,46929.58318,12,6,2,1,2,2,0,Basic,Gold > Platinum,0,Manual,4,54.65906759,0.619893515,6,Good,0
CUST00011,55,Male,West,Self-employed,High,523,3/17/2019,Online,12,9,0.524778817,32.15899549,Android,v2,3,1,5,28211.86047,12,6,0,1,5,4,0,Platinum,No Change,0,Auto,3,38.67236676,0.334321209,2,Good,1
CUST00012,34,Male,South,Self-employed,High,660,9/26/2014,Agent,7,3,3.007142984,5.306056101,Web,v1,1,1,5,38725.83151,12,6,1,0,2,4,0,Gold,Gold > Platinum,0,Auto,0,3.514434093,0.709339915,3,Neutral,1
CUST00013,36,Male,East,Salaried,Low,757,2/22/2017,Online,6,8,0.633561976,90.45094481,Android,v1,1,1,5,53620.15979,12,6,0,2,2,0,1,Platinum,No Change,0,Manual,2,13.19987922,0.624311821,7,Neutral,0
CUST00014,61,Female,North,Self-employed,High,593,2/28/2012,Branch,14,5,3.180637403,123.4606921,iOS,v3,0,1,5,67907.63024,12,6,0,0,0,5,0,Platinum,Basic > Silver,0,Auto,1,80.49151183,0.601879418,3,Bad,0
CUST00015,21,Female,North,Student,Medium,625,11/25/2018,Branch,12,7,6.000529813,81.05120185,Android,v3,1,1,5,30768.83296,12,6,0,0,2,1,0,Basic,Basic > Silver,0,Manual,,60.20405245,0.276692281,5,Neutral,0
CUST00016,65,Other,East,Self-employed,Medium,502,7/31/2017,Branch,10,9,41.09312645,53.17642384,iOS,v2,0,1,5,37485.70152,12,6,1,1,2,3,1,Basic,No Change,0,Manual,,37.75458974,0.085910716,4,Good,0
CUST00017,28,Other,West,Salaried,Low,596,6/17/2020,Agent,22,7,5.378795675,9.763390812,Web,v3,1,1,5,63236.72903,12,6,1,1,0,1,0,Gold,Gold > Platinum,0,Auto,1,111.5839242,0.804700795,1,Bad,0
CUST00018,39,Other,West,Student,Low,560,5/13/2017,Branch,9,10,4.507250294,30.54193307,Android,v3,1,1,5,71147.71845,12,6,0,0,3,3,1,Basic,Gold > Platinum,0,Manual,2,7.527131982,0.596683641,7,Bad,0
CUST00019,21,Female,North,Retired,High,817,11/23/2013,Online,14,6,2.983817765,72.86893742,Web,v1,0,1,5,59968.24512,12,6,2,2,2,5,0,Platinum,Basic > Silver,0,Manual,1,150.6689925,0.385301085,9,Bad,0
CUST00020,34,Other,South,Self-employed,High,431,2/26/2013,Branch,15,5,0.751025713,0.351773328,Web,v1,0,1,5,51870.31889,12,6,1,1,1,0,0,Platinum,Gold > Platinum,0,Auto,3,38.48150723,0.724755953,8,Good,0
CUST00021,25,Other,South,Self-employed,High,624,7/11/2014,Branch,10,10,9.757626181,11.30850314,Android,v2,0,1,5,46160.011,12,6,2,0,1,3,0,Platinum,Silver > Gold,0,Auto,2,8.456237009,0.416359976,0,Bad,0
